Internal ID,ID,Port of Loading,Final Destination,Cargo Ready Date,Incoterm,PO(s),Container Type,# of Containers,Rate/Unit,Date Received,Forwarder,Port of Discharge,Last CY/CFS,Vessel ETD,Vessel ETA,Last CY/CFS ETA,# of Free Days,Carrier,Shipping Mode
,,"Nhava Sheva, India","Salt Lake City, UT",,,,,,,,,,,,,,,,
,,"Semarang, Indonesia","Chicago, IL",,,,,,,,,,,,,,,,
,,"Nhava Sheva, India","Los Angeles, CA",,,,,,,,,,,,,,,,
,,"Nhava Sheva, India","New York, NY",,,,,,,,,,,,,,,,
,,"Semarang, Indonesia","Los Angeles, CA",,,,,,,,,,,,,,,,
,,"Semarang, Indonesia","New York, NY",,,,,,,,,,,,,,,,
,,"Nhava Sheva, India","Salt Lake City, UT",,,,,,,,,,,,,,,,
,,"Semarang, Indonesia","Chicago, IL",,,,,,,,,,,,,,,,
