,POL,POD
115,"Mundra, India","Charleston, SC"
116,"Mundra, India","Norfolk, VA"
117,"Mundra, India","Philadelphia, PA"
118,"Mundra, India","New York, NY"
,"Mundra, India","Boston, MA"
,"Pipavav, India","Seattle, WA"
,"Pipavav, India","Oakland, CA"
,"Pipavav, India","Los Angeles, CA"
,"Pipavav, India","Houston, TX"
,"Pipavav, India","New Orleans, LA"
,"Pipavav, India","Mobile, AL"
,"Pipavav, India","Tampa, FL"
,"Pipavav, India","Miami, FL"
,"Pipavav, India","Jacksonville, FL"
,"Pipavav, India","Savannah, GA"
,"Pipavav, India","Charleston, SC"
,"Pipavav, India","Norfolk, VA"
,"Pipavav, India","Philadelphia, PA"
,"Pipavav, India","New York, NY"
,"Pipavav, India","Boston, MA"
